Marisol Lykins	433-483-5924	1972 W Miller
Ramiro Smith	397-601-3217	8209 S Eberheart
Michelle Duarte	346-326-9747	2596 W Dooley
Rodney Stout	173-203-5092	6478 S Summerfield
Charles Mccleery	137-742-8267	7694 E Gailey
Robert Herring	297-534-9135	7282 E Barjas
Irene Alvarez	529-781-9852	3700 W Kim
Jamey Mcleod	871-235-9449	1441 S Clantz
Alfred Pritchard	339-749-4647	6953 E Ciraulo
Donald Ellison	633-200-9774	6553 S Thompson
Mary Mclean	125-669-5107	5017 W Ford
Ashley Brown	332-458-3286	0397 E Bayliff
Curtis Clary	321-368-6290	5080 S Leung
Susan Saunders	431-910-4238	8674 S Salazar
Ronald Riche	294-701-1638	2477 W Baylock
Debbie Jarrell	545-712-3172	1331 N Witty
Scott Mcgill	828-663-7213	6735 E Moore
Julie Mora	316-395-6091	5292 S Fleeman
Alberto Biglin	524-409-7242	8533 S Brasher
Robert Warner	166-215-6852	8509 E Jones
Frank White	212-276-8756	8064 E Mahone
Mattie Jones	136-634-4521	7258 E Bruster
Patsy Passe	921-739-9352	7941 S Johnson
Kerry Goggin	365-710-9226	2314 N Riggs
Jonathan Perkins	376-500-3810	1854 W Deese
Robert Suzuki	712-803-7801	5298 S Jones
Roger Moon	987-722-9499	2922 N Gourley
Leah Caughlin	232-515-6768	6209 E Wilson
Brenda Davis	548-274-1194	5064 E Mcadam
Sofia Clark	183-595-5269	6820 S Belanger
Chester Binkley	727-499-6426	9042 E Wilson
Manuel Burns	811-199-5026	4978 E Lindsay
Tracey Jackson	636-535-8084	2652 S Meredith
Kenneth Brown	842-474-1248	0960 W Pierce
Donald Voeltner	893-115-3451	6588 N Pischke
Randy Kleypas	465-744-3425	9735 N Johnson
Larry Black	664-597-2989	4655 S Ennis
Giuseppe Jennins	431-495-3156	8952 E Armstrong
Jennifer Plessis	733-589-9367	9166 S Rogers
James Young	471-488-5669	5752 N Barto
William Jackson	121-479-7117	4414 S Berry
Lou Bailey	124-239-7872	8483 W Cooley
Robert Thorpe	447-387-7860	2528 N Wright
Keith Brinkman	135-390-2161	0641 E Brey
Jean Barry	948-289-6963	9321 W Douglas
Amanda Murphy	851-337-5748	5257 N Ortiz
Gregory Villatora	342-213-1722	4506 E Cowles
Kathleen Weaver	163-532-2171	7660 S Muros
Jasper James	565-331-3868	9376 S Brown
Frances Beaird	129-726-3556	1152 S Rivera
Milford Borden	158-768-7886	9366 N Boone
Susan Wideman	112-306-1419	6761 E Woods
Lorilee Morrison	166-175-1480	2192 E Alston
Danny Shulte	659-358-8564	9087 N Chockley
Carolyn Jackson	772-145-5434	6326 S Beliveau
Richard Zarate	444-684-1128	2900 N Gravina
Kellie Hodges	821-702-2601	2760 W Timmons
James Rucker	836-310-6630	4152 W Fields
Amy Collins	745-921-5400	9843 S Lemle
Laurie Ellis	363-699-7420	6930 N Gonzalez
Kevin Ellis	928-841-6130	6868 W Manuel
Matthew Morgan	554-293-8806	4468 E Rodriguez
Gloria Miller	225-692-1269	2209 W Klinkhammer
Bethany Mayers	123-765-1379	5759 W Taylor
Erin Grant	255-852-8877	7709 S Moore
Otis Piirto	821-677-2951	4090 E Terrell
Mary Hineline	155-914-2964	0564 W Johnson
Vanessa Johnson	174-749-5012	1267 S Watson
Roscoe Thompson	519-524-6621	8960 N Loe
Kathy Bumgardner	348-962-7886	3776 W Sartor
Jose Allen	656-612-1834	3897 N Clements
Sonny Bowers	313-625-3672	7451 N Moore
Billy Oconnell	169-909-5942	6957 W Chamberlain
Samantha Hill	549-676-4615	9697 E Richardson
Abraham Mclaren	157-101-9705	6430 N Nelson
Catalina Fritts	244-604-5303	9499 E Cruse
Amy Gurry	622-168-8451	6613 N Wright
Amy Terry	553-826-6353	0929 N Rhoades
Lucille Anderson	972-326-3052	4576 W Walker
Cory Silver	774-879-9267	1366 E Paddio
Rosa Stone	768-801-4477	3969 S Moore
Charles Brown	475-245-1656	6195 E Still
Mildred Corbett	958-781-4359	2173 N Vandam
Richard Fernandez	451-312-9777	9218 W Pate
Vernon Barnhill	514-290-2258	0239 S Geary
Anna Smith	545-548-1326	8230 N Haley
Richard Schmid	666-455-1847	4596 E Veile
Daniel Deleon	579-964-7345	2485 S Bell
Mary Kane	949-392-3425	6804 S Ball
Henry Riley	853-952-9806	9867 S Vega
Francine Brown	129-364-6782	1136 N Houser
Phillip Vanscoy	387-164-2339	8216 S Wansley
Deanna Torres	846-146-5323	7551 E Chu
Michael Ray	931-853-4359	5384 E Marquis
Keith Clark	476-967-6847	1565 W Storlie
Maria Barnes	388-347-6553	1512 S Eddinger
Jerry Wethje	689-347-9009	6987 E Muller
Fred Major	194-591-9305	2370 E High
Michael Andersen	891-183-7948	1237 W Quintana
Jenna Young	119-474-2949	3174 E Zarate
Michael Bettes	258-167-3524	3833 W Anderson
Adolfo Weinstein	938-403-8233	6798 N Beauchamp
David Thomas	419-270-4321	9753 S Westmoreland
Tim Snider	951-319-1910	4073 E Gardner
Jude Glen	515-405-7015	7512 N White
Charles Tep	771-169-1274	7438 N Peterson
David Harvey	716-768-2455	2202 N Murphy
Rita Mcdonald	679-752-4141	1181 S Bullock
William Keller	445-678-9384	9017 N Lambert
Donald Kruger	993-133-5485	4057 E Hart
Adrian Jones	293-966-1490	7305 N Birdsell
Albert Dillon	771-976-1466	6712 W Roderiquez
Elbert Mills	367-636-1690	6105 W Ferguson
Mable Porter	891-743-8499	6735 E David
Shawn Viator	883-869-6844	2897 W Thomas
Ernest Inman	149-824-7143	9875 S Werner
Alexandra Wilkerson	246-384-4224	9697 W Earnest
Eugene Adams	177-817-1249	2874 E Spencer
Juan Williams	391-697-8295	6836 N Booth
Frederic Gibbons	367-854-6168	5791 N Pignataro
Cheryl Davis	263-500-2908	2689 N Holloway
Michelle Spencer	683-524-8910	4601 N Davis
Vera Whitham	824-851-8053	8033 W Ramirez
Patrick Martin	169-101-5124	2218 S Hill
Mark Miller	216-967-2902	3421 E Chalker
Rickie White	726-476-9073	1443 S London
Chasity Sublett	884-461-3886	5569 S Friedman
Kurtis Mcclellan	428-699-8793	7785 N Johnson
Brad Carter	263-646-6724	8166 S Gray
Anthony Nichols	397-817-2200	6448 N Reed
Stacy Scruggs	877-747-8977	6989 E Cramer
Mary Hamilton	199-524-9096	3461 W Hogan
Diane Grupe	969-942-2719	9472 N Siple
Wayne Alkire	127-962-1194	7438 W Duran
Cheryl Boatright	856-998-8405	9099 W Markovich
Charles Garza	214-368-4738	5496 E Hoffmann
Virgil Cash	293-554-8114	4166 N Blum
Bruce Adamo	439-760-3362	8715 W Aguilar
Priscilla Farinas	538-530-7971	5063 E Smith
George Thies	292-894-9098	5879 E Morris
Louise Oldroyd	529-804-8432	9763 E Guiney
Sara Norton	597-915-7686	1501 W Johnson
Phyllis Iha	769-966-2039	2006 W Bullock
Anna Chambers	729-444-9356	5688 S Predovich
Ruth Joyce	844-573-5531	3364 N Bapties
Alexander Schriner	213-142-9582	6924 S Vasquez
Maria Castro	528-904-3174	5274 E Warren
Ester Campbell	921-625-2546	6915 E Lewis
Darlene Junkin	648-255-5816	9583 W Oconnor
Jeanene Brannon	119-926-6720	2921 E Dobson
France Stringer	421-329-6440	9629 S Braund
Gary Cooper	627-223-4792	5416 W Giese
Alice Griffitts	222-561-4852	7310 N Wiley
Charles Hutchens	128-225-2548	1414 W Newman
Jack Ealy	492-635-5465	5583 W Washington
Dana Hernandez	225-492-9872	2069 W Kim
Frederick Werner	911-840-9522	8614 N Bias
Nichole Salgado	799-121-1048	1804 S Sparano
Lillie Griffin	725-599-9896	3754 S Richmond
Eddy Cox	887-565-3159	0690 W Rogers
Vickie Martin	716-584-4241	8081 W Rodgers
Amelia Mcvicker	917-832-8355	0386 W Marbley
Dave Bramblett	441-254-8837	4447 S Boyd
Rachel Edwards	655-636-9713	7848 N Guarnera
Christopher Roessler	791-789-8624	9527 S Hodgdon
Naomi Scott	122-570-4390	1118 W Hillian
Jack Kealy	257-125-4415	5352 N Soucier
Amy Ali	942-387-6421	2178 N Murphy
Theresa Holt	718-606-5727	5523 W Laduke
Donna Vanwormer	223-832-8318	2242 S Brown
Lori Bouwkamp	162-804-5284	7148 N Ford
Jeannette Gaston	162-417-6283	7524 E Porter
William Matthews	943-155-6437	8122 E Desatnik
Anna Trotter	838-188-9681	5226 N Flaherty
Sonia Witherspoon	444-182-2083	3459 W Macpherson
James Atkins	796-542-1079	9764 S Sigler
Steven Zellers	224-431-7086	0630 N Parker
Caleb Hahn	251-838-6491	1150 W Begay
Chad Citizen	497-498-9875	8477 W Mceachern
Russell Lee	759-856-1304	6639 S Powell
Louise Gallagher	674-989-7922	4770 W Canpos
Charles Lauzon	295-464-4812	9016 E Rice
Leah Thibodaux	344-348-3846	6111 W Floyd
Dennis Love	473-499-8824	8901 S Wilkinson
Anthony Arnold	987-963-5765	1193 S Greene
William Lanz	281-443-6849	3593 N Salstrom
Eduardo Ball	492-652-4555	7917 W Isaac
Nancy Braden	793-744-5336	4241 E Hurley
Suzanne Salinas	156-304-4131	4546 E Zeiner
Brian Wright	312-537-6730	5425 N Rudisill
Shawn Mannella	869-291-3493	7420 E Drennan
Chris Ceraos	838-696-6890	9707 S Smith
Timothy Kauffman	261-200-9182	6870 N Hedrington
Angele Ragin	946-196-2776	2762 S Jones
Lisa Jenkins	445-626-3763	0525 E Tacker
Felipe Frazier	989-303-8890	4880 N White
Brenda Adens	748-930-5575	3833 W Moore
Lorena Romie	114-442-4654	8321 S Pope
Katie Pritchard	259-711-7885	8776 N Hudson
Cynthia Freeland	333-776-3935	0239 N Stroup
Peter Sheley	228-470-6478	8436 W Hinton
Edward Hopkins	896-802-8056	6288 E Briggs
Leslie Stills	865-186-2893	2096 E Thady
Gwen Magness	833-282-3771	3633 N Manzone
Lori Terry	274-195-8654	6814 E Garcia
Charles Walker	539-177-5975	5200 W Parnell
Terrance Packwood	913-205-9932	9511 N Welch
Mary Farrar	451-938-6751	2782 E Miller
George Hough	856-373-4365	5869 S Sullivan
John Hollie	933-994-7633	0183 E Williams
Melissa Wilson	287-105-8571	8890 N Hernandez
Elvis Chen	448-235-9279	1873 N Hau
Carol Shor	795-446-4100	8635 W Pollock
Victoria Miller	858-104-5176	8781 N Kina
Sandra Villarreal	324-358-8230	6644 S Moss
Mary Kolasinski	472-653-7430	3888 W Perkins
Gwen Franco	849-300-3529	4485 S Bagwell
Claudia Davis	653-337-9539	4356 N Isreal
Timothy Crawford	791-267-7616	0719 N Bright
Gabriel Bullington	583-786-5579	0064 N Slate
Leilani Buendia	229-361-5238	2537 E Aki
John Villarreal	794-879-4384	5558 N Travis
Amy Selby	838-712-1771	7634 N Manahan
Jacqueline Williams	292-142-6118	5631 N Davis
Robert Ona	863-624-1249	3585 E Macias
Donald Lewis	246-746-6953	9196 S Hall
Harold Wood	751-577-5654	0069 E Snyder
Richard Spencer	631-590-2570	0677 S Arbogast
Mario Crawford	852-258-7699	1748 N Brown
Gene Wedge	815-591-5689	5323 N Hatfield
John Baker	831-580-8238	3477 W Moody
Brent Glenn	642-125-3535	3603 S Swanson
William Hulsey	361-157-5974	5278 N Lipscomb
William Brown	381-239-3386	4280 W Stone
Mary Kyseth	882-249-9859	8421 E Seese
Linda Reed	441-656-4037	9506 E Mercado
Christopher Gray	728-664-1195	0837 W Johnson
Dustin Taylor	772-273-3964	4465 N Ross
Vivian Wilson	928-873-7289	3384 S Hardy
Kimberly Trahern	244-545-8870	9379 W Whitney
Jason Harris	471-524-5471	6711 W Ruiz
Tyrone Rodriguez	889-532-5014	2022 S Smith
Marla Mattie	834-411-3079	0651 N Tatum
Lee Perry	483-799-1342	4384 E Maloy
Mary Barajas	891-111-2079	8981 N Galayda
Kevin Mossien	466-268-7011	5648 N Jones
Roberta Waldbauer	465-939-1993	0182 S Frost
Brandon Moore	857-909-1651	2901 W Smith
Katie Beabout	939-656-7832	3256 S Nicolosi
Phyllis Helman	967-523-6897	8343 W Labay
Deborah Channey	232-860-6867	0180 E Jackson
Christopher Reed	436-771-7999	6150 W Dolphin
Cory Vargas	692-630-7060	1712 W Murphy
Ruth Wolfe	347-324-4787	4687 W Westfall
Paul Naranjo	629-873-8932	5063 N Kovacs
Mark Aguillon	849-274-4232	0713 W King
Aimee Dickhoff	339-675-7138	0192 E Christie
Michael Hernandez	166-788-2853	4185 N Roman
Clifton Cobbins	328-377-2365	2297 N Watson
Georgianne Hairston	378-926-8357	6891 N Fielding
Frank Rayos	259-748-2516	6797 S Morrison
Mark Hunt	498-707-1527	8275 N Clark
Helen Sigg	561-920-1968	8178 E Esquibel
Maria Ocasio	212-864-5876	8506 S Murray
Ernestina Matson	514-133-2545	3327 W Wolfe
Michael Schmidt	474-172-1965	4644 W Madden
James Brewer	843-797-1645	4732 E Nanasy
David Fritch	526-961-2433	0365 S Brown
Danielle Phelan	562-523-3364	3896 W Gallimore
Joanna Roberson	525-461-2213	5399 E Scott
Tina Donahue	614-231-9046	5517 W Daughters
Vickie Martin	758-773-5800	5237 S Love
Kathy Fletcher	632-259-8543	4692 W Hopf
Kathleen Escobar	945-591-9792	7632 E Bushman
Patricia Mudd	687-207-2465	8880 S Wekenborg
Cecil Pilkington	273-754-7703	7138 N Homer
Terry Velasco	788-279-3191	2178 E Ramirez
Johnny Wirth	589-262-5246	0685 W Patrylak
Barbara Charles	454-139-4686	1763 N Arellano
Patricia Fitzgerald	331-770-6870	4953 S Rodriguez
Herman Humphrey	796-453-7888	2004 W Burnett
Alice Alexander	416-151-6839	7829 E Bussman
Robert Pribbenow	465-225-4984	0563 S Garner
George Ballard	333-151-2789	6900 N Ayon
Carol Mcintyre	576-362-1538	6266 W Brewster
Catherine Townsend	245-140-9538	2642 W Kelsey
Blanche Pals	796-309-9874	6751 N Dolfi
Deborah Parker	399-332-3735	1607 E Rosales
Sofia Olson	639-272-4786	5021 N Halbert
Megan Robinson	369-626-1831	6491 N Wilkerson
Jose Catlett	338-783-8866	9397 N Chattin
Samuel Gambone	976-661-4300	7040 N Parker
Virginia Muir	869-567-8583	6960 S Robinson
Adam Sikorski	442-686-9520	4080 S Tavarez
Carol Burgener	732-736-1554	9157 W Bencomo
Barbara Bowman	289-108-6701	3400 W Oneil
Charlotte White	975-798-7203	0995 E Seifert
Leola Buttner	213-191-6159	5163 N Waller
Amy Meritt	621-117-9851	7986 S Durham
William Young	827-337-6487	6891 W Olaughlin
Joe Thompson	749-135-6608	0710 S Brooks
George Martinez	877-971-4182	8913 W Petty
Marlys Taylor	466-972-9465	5764 E Anthony
Lauren Brown	364-979-6329	1115 W Wheeler
Carole King	723-353-9665	6045 W Perales
James Belton	383-264-8781	7809 E King
Debra Johnson	751-434-9455	6656 S Hernandez
Fay Wolfe	572-222-5359	9523 E Carwile
Jessie Connelly	274-335-2189	2785 E Norman
Christopher Bligen	171-641-7615	5049 S Lindquist
Angela Holmes	727-640-1776	0369 N Dixon
Tommy Croy	199-961-6039	9306 S Easter
Linda Rauch	187-547-6786	5815 N Russell
James Pickhardt	641-610-7749	1648 E Temple
Kimberly Lyons	748-880-4713	9190 N Hale
James Fontaine	595-635-2081	0828 S Paige
Patricia Dicker	369-170-1041	9708 S Lancaster
Wayne Wolfertz	118-936-1685	5769 S Turner
Daniel Benjamin	379-569-4799	9787 N White
Rosemary Guerra	687-190-3166	3291 E Mirza
Stephan Koopman	893-543-9426	2250 N Tisdale
Joann Lerman	164-588-5895	4434 N Robinson
Adam Spratt	817-670-2327	6639 N Conroy
Robt Green	946-572-8250	5125 N Dore
Clara Lawrence	356-100-4132	4834 E Peters
Martha Netolicky	476-120-2156	1093 E Hodes
Lindsay Parker	181-692-6633	8044 S Ellsworth
Rosalia Woods	116-714-5027	0355 W Fulcher
Christiane Francis	464-168-5802	8515 E Johnson
Michael Rodriguez	851-349-9847	0146 S Vanbuskirk
Kim Ellis	285-937-5992	1057 S Randolph
Michael Blevins	593-737-7470	1163 E Lopez
Shawn Crawford	655-617-7174	6754 S Scarborough
Heather Ries	254-663-2384	4141 W Kelley
Jennifer Azevedo	478-615-9268	0158 W Hoover
Joseph Frazier	529-965-5683	6350 S Niece
David Christensen	317-890-6841	0710 S Bullock
Mark Vadnais	198-650-9271	0365 E Willis
Robert Monk	825-997-2415	6572 N Hudson
Cecil Avila	279-782-7500	1481 E Berry
Phyllis Hannah	212-468-3892	3321 W Slivka
Michael Vancleave	195-619-4223	6204 N Jones
Mary Washington	619-988-9230	9400 E Cast
Lisa Craig	721-846-9138	2253 S Capers
Dwayne Shrum	416-366-7786	4922 N Knight
Roy Hayes	821-981-2732	7034 S Hubbard
Jennifer Strand	331-333-1809	6731 W Carlyon
Arthur Mossman	419-853-4098	7654 N Melvin
Matthew Dunn	318-713-2007	2140 S Macdonald
Tanya Landon	133-526-6660	9595 S Householder
Helen Williams	973-693-6032	5862 N Roby
Nancy Lurvey	159-921-2698	4404 W Stinson
David Harris	685-899-8695	1855 E Tomsic
Gary Baran	199-931-7967	9609 S Dewitt
Dorris Hudson	164-754-8743	0588 N Dye
Andrew Waddell	286-910-8018	7108 E Wildenthaler
Corey Whitney	595-149-4176	4950 N Oliveras
Carole Ernest	636-960-3757	8808 E Pfaff
Mary Ramos	828-777-9669	4150 N Greenstein
Steffanie Mcbride	765-724-3310	2364 E Queen
Ranee Treto	871-605-1544	5649 E Drewniak
Lillian Garrison	299-146-6158	5333 E Mendoza
Mildred Johnson	214-121-9772	6810 S Magee
Hugo Woodhouse	838-499-3058	7210 E Weist
Robert Sweene	549-670-5367	4844 N Woods
Marylou Eguia	132-580-3979	9029 N Landingham
Minerva Beaudry	936-637-7083	0477 E Dubose
Donald Schill	884-296-9161	1173 E Scrabeck
Christian White	593-986-1420	4920 E Thayer
James Wilson	984-423-8745	6519 W Cimino
Mildred Lewis	824-319-2724	3497 N Martin
Ashley Banuelos	622-258-6007	3891 E Watkins
Christopher Peterson	527-743-6172	9142 E Washington
Kelvin Tricarico	483-260-1885	1465 E Kealoha
Thomas Berman	663-588-3603	0513 E Peterson
Lizette Jaramillo	875-529-8178	5199 E Jones
Robert Eaddy	464-929-1713	9601 W Smith
Jason Case	681-545-9946	8256 S Bell
Betsy Neal	899-511-1334	7970 E Robinson
Robert Hiott	617-483-3924	3914 E Butler
Joe Jones	331-462-7254	0146 W Fletcher
Anthony Armstrong	976-591-4230	8551 N Davis
Vicki Clark	323-347-4890	5870 W Mattas
Mary Brazee	894-365-2722	9409 N Anthony
Diane Negron	918-476-3884	6470 S Carmichael
Raymond Stephenson	597-920-7353	0160 S Bassham
Phyllis Dale	871-272-5590	9262 S Clayton
Alice Forster	328-163-1809	2719 N Kahn
Louise Couch	336-974-6726	5532 W Martinez
Robert Pharris	136-716-2461	2905 N Lowry
James Loomis	752-480-2117	3161 N Bernard
Paul Green	635-827-6539	6541 N Baughman
Jason Wynn	325-377-7623	3233 S Hernandez
Russell Ward	131-161-8771	2473 E Pemberton
Travis Hartsfield	468-800-3929	5159 S Hobbs
Raul Houston	383-222-1299	0948 S Spell
Kathy Lamb	713-569-5253	4500 E Bennett
Lacy Palacios	152-719-6143	9478 N Porter
Patrice Martinez	422-819-1296	5810 N Collins
Tessie Willey	492-836-3937	5568 W Smith
Aaron King	625-703-3472	6388 S Hawes
Dana Petty	613-367-3014	1051 N Steppe
Adrian Figueroa	576-512-5241	9457 N Singleton
Thelma Farmer	586-813-5449	0700 S Weslowski
Thomas Vollmer	456-923-1108	6554 N Ranta
Lisa Roush	168-789-5883	5276 S Landreth
Rosa Penland	948-765-9522	8446 N Adams
Lewis Sutherland	694-124-4920	6247 E Behr
Kevin Somerville	529-403-9218	8051 N Piccinone
Regina Thompson	751-480-5337	8209 E Pelham
John Lints	332-968-3340	6168 N Price
Jose Cooper	134-923-7624	9877 N Dunn
Genevieve Racette	184-249-8937	6421 W Lingafelter
Martha Wescott	848-985-5910	7703 S Monaghan
Lydia Lemon	211-768-6710	3988 N Schmitz
Timothy Pennington	513-665-8868	0590 S Clark
Wendy Baker	732-891-9357	8292 N Edward
Dwight Burke	993-314-9985	9216 S Benson
Martin Jimenez	938-356-1558	9117 S Mills
Samuel Hua	553-879-7735	7562 W Gee
Odell Hooser	484-700-7248	4837 E Earl
Lisa Bonner	954-809-9939	5179 E Jones
Janice Redman	526-805-4201	5434 W Rex
Richard Smith	359-823-4802	8340 W Scott
Donna Maguire	744-136-5518	3868 W Parker
William Sum	631-451-4990	9586 E Hickman
Pauline Lopez	836-967-4987	6189 W Arnold
David Ramos	326-519-3517	9303 N Basham
Emilia Jones	942-985-4757	3709 S Wilson
Carol Lovelady	597-399-9695	7038 E Tyler
Raymond Gebhard	649-408-6756	6758 N Waddell
Beverly Hudson	254-473-7449	3188 N Mangram
Ina Rhodes	963-263-2321	0590 E Bush
Nick Rosselle	522-458-8920	9410 W Dailey
Frances Montoya	341-700-8106	1597 E Jay
Jamie Vincente	715-561-2491	6634 N Stepnoski
Cathy Norton	164-803-5994	4821 N Hoy
Antonio Lockett	827-640-6240	9841 E Rogers
Lora Ramirez	629-219-8587	3167 E King
Bart Smtih	485-317-8028	2079 E Hepler
Jay Baker	112-831-8056	6068 W Heroux
Carmen Vanscoy	715-726-3554	6906 S Otis
Louis Ames	965-357-4533	3475 W Triche
Maria Cargile	636-505-6731	0061 W Wilson
Sylvia Garth	587-557-2870	1501 W Miller
Oscar Hopkins	111-382-4508	0728 E Taylor
Joseph Derouen	191-825-2783	3188 S Patrick
Yolanda Boynton	295-202-9155	0903 N Pittman
Rudolph Kassner	755-261-2477	0736 W Johnson
Alberta Allen	825-419-5184	5997 S Warner
Jeffrey Speas	244-935-9144	9364 S Valles
Doug Crumpton	198-693-4317	1828 N Carter
Judith Arnold	298-364-8528	0528 N Deerman
Kenneth Hickey	711-390-9724	7540 S Jenkins
Michael Felix	562-685-4035	2214 S Baumann
Ana Peterson	582-543-1554	9119 S Green
Alyson Seevers	485-200-8570	1108 N Lasenby
David Bergeron	249-516-6358	6081 N Hewlett
Robert Cobbs	513-324-1469	7821 W Kelso
John Peck	692-911-3832	0440 W Kelly
Michael Mcclain	749-761-2269	5674 E Gregory
Rosa Davis	634-376-6806	8086 N Tucker
Robert Hutchinson	441-199-5105	0083 N Grimes
Carl Dignan	855-497-5379	3100 W Renfro
Haley Gusler	842-684-7644	7614 E Matteson
Sandra Shea	639-489-8547	7841 N Lockwood
Bobby Leach	346-220-6910	5762 N Pacheco
Eric Dowell	964-903-5433	8637 E Cagney
Josephine Sholders	614-229-9727	8672 W Vitiello
Thomas Blackwell	958-390-8094	4847 N Johnson
Jose Worley	912-518-8877	9518 S Roberts
Barbara Mcmahon	532-471-9481	5980 W Carlson
Alex Taylor	785-129-6119	0865 N Core
Helena Hoyt	143-546-9195	8636 W Peterson
Jose Simpson	643-933-1553	0561 S Szymczak
John Frazier	119-704-6167	4206 W Clark
Jack Snyder	755-912-2432	6970 N Clifton
Nancy Whitney	134-746-1938	3690 W Pittman
Eva Strong	935-899-7951	0634 E Jones
Lamont Hubble	234-330-4144	5064 E Wilson
Laura Anderson	341-222-1121	7881 S Cocker
France Lewis	369-442-6172	9486 N Sutton
Micah Ternullo	341-785-5062	1101 S Huston
Thomas Englehardt	129-337-6177	9871 W Heitmann
Michael Teems	541-816-8330	8932 S Morehead
Daniel Pinkerton	455-678-9048	8334 N Barr
Elizabeth Mann	437-120-6051	9296 N Angulo
Walter Kerner	687-237-3588	5207 E Heath
Jackie Jones	656-445-2277	7743 W Gordon
Alfred Ahuna	882-574-8117	5389 E Fox
Eric Christensen	814-668-2145	0110 W Dorsey
Angel Mcbride	655-758-3912	7791 E Kumar
Cari Hatch	214-976-6663	6445 E Barker
Daniel Thomas	444-215-3987	1807 E Johnson
Betty Webb	498-776-5876	3682 W Williams
Larry Clewell	939-682-4631	4461 N Goodwin
John Kirk	184-648-4807	7082 N Bercier
James Frazier	638-961-5678	2525 W Wiedmann
Rosario England	815-984-3176	8187 E Miller
Joseph Koenig	952-217-3392	9950 E Oleary
Bryan Mcdaniel	662-813-1616	1249 S Oscar
Walter Tate	362-888-9501	2375 E Vines
Margaret Whitney	244-406-4864	3823 W Ramsey
Terry Gutierrez	916-413-1368	7245 S Ireland
Jordan Longoria	939-226-1143	6058 S Fitzgerald
Joy Anderson	519-290-1097	1607 N Russo
Melvin Lang	583-708-3263	6582 S Washington
Jason Woods	984-304-6820	6248 S Murley
Kimberly Manalo	182-693-8642	9525 N Christian
Vannessa Thomas	128-565-8253	0459 W Robertson
Eugene Dabney	224-282-2436	2945 N Inman
Ivan Jordan	556-578-7055	2006 W Bugg
Patrick Parker	146-239-5756	9647 W Gracia
David Hernandez	553-584-6910	0182 N Nelson
Delbert Boddie	776-884-6918	8607 S Rosario
Keith Richardson	467-161-9123	8209 E Richman
Roy Jones	911-389-4489	3415 S Brown
Andrew Miller	641-599-6701	9063 S Hernandez
Roger Chen	451-844-8783	3779 W Meikle
Antonio Flores	725-858-2608	3915 N Huneycutt
Mary Roten	244-123-3871	5455 W Stanford
Jeremy Lee	633-149-8029	3668 S Brenner
Kevin Marshall	577-490-1040	3161 N Phillips
Terry Arnold	488-398-3580	5859 S Knarr
Enrique Searles	748-837-8838	6765 W Patterson
Joe Ballesteros	838-848-1729	1912 S Cruz
Oliver Guest	186-596-1170	5741 E Isaac
Michael Mendoza	868-282-3484	0247 E Crisp
Andrea Richardson	418-792-9079	8295 S Sink
Kathy Arocha	633-827-6463	7030 E Blow
Betty Hoff	294-660-1191	3110 E Taylor
Andrew Gibbs	765-610-1117	3985 W Knox
Matthew Gibson	954-462-2659	5080 E Perry
Adam Mayer	813-890-3608	3060 E Phillips
William Swavely	837-272-3929	0593 W Christian
Geraldo Smith	895-888-9817	5958 W Wade
Fern Villatoro	882-416-2031	7755 S Hitchcock
Mildred Adams	124-397-4453	1303 E Escobedo
William Perez	928-869-7648	4826 N Jennings
Laura Delarosa	863-786-2788	8198 W Boucher
Sharon Smith	696-907-5142	4003 W Johnson
Nancy Goldhirsh	791-603-5119	3255 E Kuhn
John Boyte	871-430-4079	9288 W Seamons
Maria Guest	213-523-5370	4410 W Nichols
Kim Sands	427-487-3093	7286 N Perfater
Nathaniel Johnson	459-573-1706	8081 E Doran
Ruthie Trapp	418-121-3328	7955 E Montgomery
Eric Brown	225-148-6061	0706 N Hughes
Patsy Kilpatrick	951-595-1611	6197 S Klinger
Lucinda Hilton	178-892-1072	2586 N Rey
Richard Ma	418-410-5518	6238 N Gonzalez
Denise Foster	838-531-3948	5705 W Sanders
Jeremy Kean	616-145-2033	0579 S Trujillo
Trina Wells	251-448-6310	1405 W Speer
Kay Dinkel	819-702-8990	5252 S Fender
Lottie Hutchison	512-270-8002	3250 E Welty
Maureen Rowe	685-258-3858	7191 W Berk
Dina Brandt	172-911-6175	6786 S Gates
Jose Cook	523-696-2448	4396 N Carpenter
Jennie Jones	362-922-7667	0709 S Gonzalez
Portia Haywood	745-699-3476	7899 E Fountain
Leon Maestas	495-119-6360	7767 N Leko
Nellie Hager	188-716-6409	4319 N Larrabee
Michelle Jackson	541-504-4267	6458 N Amos
Jayson Jones	792-136-2280	5819 E Ventura
William Hurless	981-146-2880	6927 S Brown
Debra Craft	272-238-6548	7225 W Brown
David Hurtado	389-923-7432	9561 S Brown
Carmen Thompson	712-325-8655	1185 W Gonce
David Moore	299-700-2239	2140 N Gagnon
Jean Neely	853-215-5661	7134 N Ruiz
Ronald Jones	216-246-4023	1035 W Richards
Sheila Richardson	255-395-1358	1977 N Franzen
Wendy Stanton	964-345-2532	8390 N Ensing
Glenda Cohen	221-492-7501	8891 S White
Megan Coulter	666-662-4773	3912 E Nash
David Moore	626-536-8185	7806 S Bryant
Michele Fisher	322-671-3281	4233 N Noman
